State,District,Latitude,Longitude,District code,Population,Male,Female,Male_Literate,Female_Literate,Literate,Workers,Non_Workers,Hindus,Muslims,Housholds_with_Electric_Lighting,Households_with_Internet,Primary_Education,Secondary_Education,Literate_Education,Illiterate_Education,Age_Group_0_29,Age_Group_30_49,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Households_with_Telephone_Mobile_Phone_Landline_only,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_separate_kitchen_Cooking_inside_house,Ownership_Owned_Households,Ownership_Rented_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Location_of_drinking_water_source_Within_the_premises_Households,Household_size_1_to_2_persons,Household_size_3_to_5_persons_Households,Married_couples_1_Households,Married_couples_3_or_more_Households,Power_Parity_Rs_45000_90000,sex_ratio,literacy_rate
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,543161,523727,396475,325289,721764,479928,586960,917426,90312,82345,3073,223902,111145,820800,258897,629153,289085,9295,27300,5124,5146,210740,193055,12450,165581,103715,22125,137370,166711,5039,161,96.0,68.0
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,337890,321406,226836,180530,407366,214240,445056,251194,397653,44143,1211,177984,50056,500042,173306,419921,156243,2583,5589,3256,880,139747,134032,4264,9661,15369,25569,73531,105304,1050,161,95.0,62.0
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,556805,535451,432335,362594,794929,498618,593638,1008219,54684,122063,5651,201680,128050,892694,209170,604908,315550,16081,44159,7387,11198,224498,196137,21137,107878,104722,25296,144578,169163,6060,161,96.0,73.0
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,778461,739081,550219,445100,995319,628954,888588,877495,601784,122191,3109,290097,154831,1142942,392678,895775,408232,10052,34461,8214,4861,211276,295002,7808,242635,197830,24211,184261,220941,8897,161,95.0,66.0
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,490167,466146,314253,242961,557214,383441,572872,766000,20290,53918,1923,212224,93137,676227,310093,618633,233739,3934,13699,4399,2124,143977,155192,16484,55973,62343,15406,87093,128097,4457,161,95.0,58.0
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,625864,602822,435942,359355,795297,399171,829515,521962,692489,70951,1933,333885,76685,935508,303785,779850,284368,3757,7289,4786,1529,241033,230546,10212,38965,44183,37517,119294,183724,3552,161,96.0,65.0
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,452905,434237,275220,214085,489305,341131,546011,529068,252271,41373,1218,166013,78788,576006,340601,552671,224715,2996,12191,2751,2167,116870,171597,4205,96490,103512,17678,102861,135308,3688,161,96.0,55.0
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,529674,512463,375552,307934,683486,429995,612142,797130,193476,60296,1948,212080,107326,795681,275677,639385,268872,6904,25699,3071,3851,185022,183814,12407,100592,115599,15880,113696,149287,6388,161,97.0,66.0
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,1439112,1384656,921850,788866,1710716,979998,1843770,1225246,1563203,195631,5121,638088,199792,1999919,873197,1778277,678034,13979,47693,10616,8180,385346,509358,32751,436923,362290,58220,302531,425164,12945,161,96.0,61.0
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,396006,375633,293184,238587,531771,267623,504016,491582,277488,68313,1631,141690,81507,606629,188960,442061,211320,4785,18810,3749,2667,134737,149314,4519,144604,109448,12138,91709,113423,5168,161,95.0,69.0
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,983904,940206,620525,488047,1108572,770606,1153504,1422824,350536,133368,4358,416218,141373,1298039,627141,1159991,501239,11760,39796,6865,7942,310383,323644,22030,135176,207718,37955,219954,284779,8779,161,96.0,58.0
